state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
NE,ADAMS,31001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2008-07-11,10,WEAPONS,1005,"Guns, through 30 mm"
NE,ADAMS,31001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2008-07-11,10,WEAPONS,1005,"Guns, through 30 mm"
NE,ADAMS,31001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2008-07-11,10,WEAPONS,1005,"Guns, through 30 mm"
NE,ADAMS,31001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2008-07-11,10,WEAPONS,1005,"Guns, through 30 mm"
NE,ADAMS,31001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2008-07-11,10,WEAPONS,1005,"Guns, through 30 mm"
NE,ADAMS,31001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2008-07-11,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BUFFALO,31019,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2008-09-24,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BUFFALO,31019,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2008-09-24,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BUFFALO,31019,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2008-09-24,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BUFFALO,31019,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2008-09-24,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BUFFALO,31019,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2008-09-24,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BUFFALO,31019,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2008-09-24,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BUFFALO,31019,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2008-09-24,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BUFFALO,31019,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2008-09-24,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BURT,31021,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2013-06-20,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BURT,31021,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2013-06-20,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BURT,31021,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2008-10-06,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BURT,31021,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,2006-09-20,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BURT,31021,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,2012-05-23,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BURT,31021,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,2012-05-23,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BURT,31021,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,2012-05-23,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BURT,31021,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,2012-05-23,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BURT,31021,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,2012-05-23,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BURT,31021,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,2012-05-23,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BURT,31021,2320-00-965-1039,"TRUCK,CARGO",1,EA,3123,3123,2012-06-22,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
NE,BUTLER,31023,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2006-03-07,10,WEAPONS,1005,"Guns, through 30 mm"
NE,CASS,31025,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2008-05-21,10,WEAPONS,1005,"Guns, through 30 mm"
NE,CASS,31025,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2008-05-21,10,WEAPONS,1005,"Guns, through 30 mm"
NE,CASS,31025,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2008-05-21,10,WEAPONS,1005,"Guns, through 30 mm"
NE,CASS,31025,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2008-05-21,10,WEAPONS,1005,"Guns, through 30 mm"
NE,CASS,31025,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2008-05-21,10,WEAPONS,1005,"Guns, through 30 mm"
NE,CASS,31025,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2008-05-21,10,WEAPONS,1005,"Guns, through 30 mm"
NE,CASS,31025,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-04-16,10,WEAPONS,1005,"Guns, through 30 mm"
NE,CASS,31025,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-04-16,10,WEAPONS,1005,"Guns, through 30 mm"
NE,CASS,31025,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-04-16,10,WEAPONS,1005,"Guns, through 30 mm"
NE,CASS,31025,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-04-16,10,WEAPONS,1005,"Guns, through 30 mm"
NE,CASS,31025,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-04-16,10,WEAPONS,1005,"Guns, through 30 mm"
NE,CASS,31025,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-04-16,10,WEAPONS,1005,"Guns, through 30 mm"
NE,CASS,31025,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-04-16,10,WEAPONS,1005,"Guns, through 30 mm"
NE,CASS,31025,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2012-04-16,10,WEAPONS,1005,"Guns, through 30 mm"
